"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",520,4948,34,0,0,"M",0,"M",0,0,0,8004,0,"M",15,"M",34,0,"M",45,"M",0,4876,8548,"L","L",523,0,-3,5427,551,18967,"GF01",2006
"GF0102"," Foreign Economic Aid",18,103,3,0,0,"M",0,"M",0,0,0,2786,0,"M",0,"M",2194,0,"M",48,"M",0,103,235,"L","L",18,0,0,103,0,5207,"GF01",2006
"GF0103"," General Services",52,302,0,0,0,"M",0,"M",0,0,0,88,0,"M",0,"M",29,0,"M",0,"M",0,247,410,"L","L",52,0,0,247,0,718,"GF01",2006
"GF0104"," Basic Research",162,7,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,29,63,"L","L",162,0,0,29,0,198,"GF01",2006
"GF0105"," Research and Development General Public Services",19,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",11,0,"M",0,"M",0,13,17,"L","L",19,0,0,13,0,43,"GF01",2006
"GF0106"," General Public Services not elsewhere classified",2,55,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",24,0,"M",24,"M",0,116,150,"L","L",2,0,0,116,0,197,"GF01",2006
"GF0107"," Public Debt Transactions",0,0,0,30041,0,"M",25,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,107,107,"L","L",0,0,0,107,0,30148,"GF01",2006
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,35399,0,"M",35399,"M",43,0,"M",43,"M",0,0,0,"L","L",0,0,0,0,0,35442,"GF01",2006
"GF0201"," Military Defence",6633,10125,0,0,0,"M",0,"M",0,0,0,11,0,"M",0,"M",0,0,"M",0,"M",0,11309,27201,"L","L",6681,0,-48,11309,0,28078,"GF02",2006
"GF0202"," Civil Defence",8,5,0,0,0,"M",0,"M",0,0,0,18,0,"M",18,"M",9,0,"M",9,"M",0,19,40,"L","L",8,0,0,19,0,59,"GF02",2006
"GF0203"," Foreign Military Aid",0,170,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1476,1668,"L","L",0,0,0,1476,0,1646,"GF02",2006
"GF0204"," Research and Development Defence",629,12,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,411,678,"L","L",629,0,0,411,0,1056,"GF02",2006
"GF0205"," Defence not elsewhere classified",293,1370,0,0,0,"M",0,"M",0,0,0,127,0,"M",0,"M",5,0,"M",0,"M",0,676,2110,"L","L",293,0,0,676,0,2471,"GF02",2006
"GF0301"," Police services",352,1417,-11,0,0,"M",0,"M",0,0,0,7335,0,"M",7277,"M",204,0,"M",190,"M",0,2114,3329,"L","L",352,0,0,2114,0,11411,"GF03",2006
"GF0302"," Fire protection services",4,63,0,0,0,"M",0,"M",0,0,0,21,0,"M",20,"M",22,0,"M",4,"M",0,61,123,"L","L",4,0,0,61,0,171,"GF03",2006
"GF0303"," Law Courts",161,2578,0,0,0,"M",0,"M",0,0,0,174,0,"M",106,"M",1,0,"M",1,"M",0,4840,6480,"L","L",161,0,0,4840,0,7754,"GF03",2006
"GF0304"," Prisons",424,1864,3,0,0,"M",0,"M",0,0,0,38,0,"M",0,"M",0,0,"M",0,"M",0,1922,3639,"L","L",424,0,0,1922,0,4251,"GF03",2006
"GF0305"," Research and Development public order and safety",36,16,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,9,26,"L","L",36,0,0,9,0,61,"GF03",2006
"GF0306"," Public order and safety not elsewhere classified",14,172,0,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",0,0,"M",0,"M",0,294,433,"L","L",14,0,0,294,0,499,"GF03",2006
"GF0401"," General economic, commercial and labour affairs",101,1712,317,0,0,"M",0,"M",0,0,0,1478,0,"M",796,"M",1549,0,"M",842,"M",0,1922,3572,"L","L",107,0,-6,1922,0,7079,"GF04",2006
"GF0402"," Agriculture, forestry, fishing and hunting",723,651,317,0,0,"M",0,"M",0,0,0,106,0,"M",11,"M",72,0,"M",8,"M",0,1222,1513,"L","L",154,0,569,1222,0,3091,"GF04",2006
"GF0403"," Fuel and Energy",1,30,704,0,0,"M",0,"M",0,0,0,619,0,"M",0,"M",54,0,"M",0,"M",0,287,293,"L","L",1,0,0,287,0,1695,"GF04",2006
"GF0404"," Mining, manufacturing and construction",0,0,0,0,0,"M",0,"M",0,0,0,5,0,"M",0,"M",0,0,"M",0,"M",0,15,14,"L","L",0,0,0,15,0,20,"GF04",2006
"GF0405"," Transport",6265,1766,2515,0,0,"M",0,"M",0,0,0,3295,0,"M",3083,"M",681,0,"M",673,"M",0,2489,3903,"L","L",6357,0,-92,2489,0,17011,"GF04",2006
"GF0406"," Communication",19,8,47,0,0,"M",0,"M",0,0,0,18,0,"M",0,"M",321,0,"M",0,"M",0,128,53,"L","L",19,0,0,128,0,541,"GF04",2006
"GF0407"," Other Industries",1,33,0,0,0,"M",0,"M",0,0,0,2,0,"M",2,"M",0,0,"M",0,"M",0,103,116,"L","L",1,0,0,103,0,139,"GF04",2006
