"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0401"," General economic, commercial and labour affairs",160,1346,412,0,0,"M",0,"M",0,0,0,989,0,"M",443,"M",968,0,"M",645,"M",0,1903,3169,"L","L",160,0,0,1903,0,5778,"GF04",2004
"GF0402"," Agriculture, forestry, fishing and hunting",710,597,283,0,0,"M",0,"M",0,0,0,107,0,"M",9,"M",46,0,"M",6,"M",0,984,1398,"L","L",155,0,555,984,0,2727,"GF04",2004
"GF0403"," Fuel and Energy",0,23,515,0,0,"M",0,"M",0,0,0,9,0,"M",0,"M",34,0,"M",0,"M",0,241,239,"L","L",0,0,0,241,0,822,"GF04",2004
"GF0404"," Mining, manufacturing and construction",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,19,18,"L","L",0,0,0,19,0,19,"GF04",2004
"GF0405"," Transport",4254,1378,1757,0,0,"M",0,"M",0,0,0,2901,0,"M",2809,"M",2741,0,"M",2150,"M",0,2312,4152,"L","L",4388,0,-134,2312,0,15343,"GF04",2004
"GF0406"," Communication",107,11,68,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",15,0,"M",0,"M",0,213,164,"L","L",107,0,0,213,0,426,"GF04",2004
"GF0407"," Other Industries",1,32,40,0,0,"M",0,"M",0,0,0,2,0,"M",1,"M",3,0,"M",0,"M",0,104,120,"L","L",1,0,0,104,0,182,"GF04",2004
"GF0408"," Research and Development Economic Affairs",889,168,700,0,0,"M",0,"M",0,0,0,137,0,"M",0,"M",947,0,"M",1,"M",0,365,505,"L","L",889,0,0,365,0,3206,"GF04",2004
"GF0409"," Economic Affairs not elsewhere classified",25,137,0,0,0,"M",0,"M",0,0,0,152,0,"M",0,"M",115,0,"M",21,"M",0,240,388,"L","L",25,0,0,240,0,669,"GF04",2004
"GF0501"," Waste Management",302,11,2,0,0,"M",0,"M",0,0,0,54,0,"M",51,"M",500,0,"M",121,"M",0,213,356,"L","L",305,0,-3,213,0,1082,"GF05",2004
"GF0502"," Water Waste Management",14,0,0,0,0,"M",0,"M",0,0,0,7,0,"M",0,"M",0,0,"M",0,"M",0,5,5,"L","L",14,0,0,5,0,26,"GF05",2004
"GF0503"," Pollution Abatement",0,10,0,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",10,0,"M",0,"M",0,197,207,"L","L",0,0,0,197,0,221,"GF05",2004
"GF0504"," Protection of biodiversity and landscape",-20,97,6,0,0,"M",0,"M",0,0,0,99,0,"M",36,"M",7,0,"M",1,"M",0,177,251,"L","L",8,0,-28,177,0,366,"GF05",2004
"GF0505"," Research and Development Environmental Protection",223,92,0,0,0,"M",0,"M",0,0,0,28,0,"M",0,"M",62,0,"M",0,"M",0,51,107,"L","L",223,0,0,51,0,456,"GF05",2004
"GF0506"," Environmental Protection not elsewhere classified",138,206,-1,0,0,"M",0,"M",0,0,0,52,0,"M",0,"M",345,0,"M",55,"M",0,402,833,"L","L",138,0,0,402,0,1142,"GF05",2004
"GF0601"," Housing Development",-9,35,263,0,0,"M",0,"M",0,0,0,638,0,"M",469,"M",3012,0,"M",947,"M",0,54,195,"L","L",-7,0,-2,54,0,3993,"GF06",2004
"GF0602"," Community Development",-174,42,6,0,0,"M",0,"M",0,0,0,512,0,"M",343,"M",313,0,"M",270,"M",0,112,148,"L","L",2,0,-176,112,0,811,"GF06",2004
"GF0603"," Water supply",182,96,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,51,237,"L","L",182,0,0,51,0,329,"GF06",2004
"GF0604"," Street Lighting",2,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,8,24,"L","L",2,0,0,8,0,10,"GF06",2004
"GF0605"," Research and Development Housing & Community amenities",1,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",11,0,"M",0,"M",0,1,4,"L","L",1,0,0,1,0,13,"GF06",2004
"GF0606"," Housing & Community amenities not elsewhere classified",1,39,0,0,0,"M",0,"M",0,0,0,41,0,"M",23,"M",201,0,"M",154,"M",0,51,83,"L","L",1,0,0,51,0,333,"GF06",2004
"GF0701"," Medical Products appliances and equipment",0,0,0,0,0,"M",0,"M",0,7805,7805,0,0,"M",0,"M",0,0,"M",0,"M",0,1362,9167,"L","L",0,0,0,1362,0,9167,"GF07",2004
"GF0702"," Outpatient Services",-3,1,0,0,0,"M",0,"M",0,8238,8238,3,0,"M",0,"M",1,0,"M",0,"M",0,5250,13585,"L","L",-3,0,0,5250,0,13490,"GF07",2004
"GF0703"," Hospital Services",3796,41893,0,0,0,"M",0,"M",0,2360,2360,1304,0,"M",1005,"M",155,0,"M",75,"M",0,7884,54591,"L","L",3861,0,-65,7884,0,57392,"GF07",2004
"GF0704"," Public Health Services",0,0,43,0,0,"M",0,"M",0,127,127,23,0,"M",0,"M",0,0,"M",0,"M",0,29,156,"L","L",0,0,0,29,0,222,"GF07",2004
"GF0705"," Research and Development Health",760,133,0,0,0,"M",0,"M",0,0,0,8,0,"M",0,"M",176,0,"M",0,"M",0,412,570,"L","L",760,0,0,412,0,1489,"GF07",2004
"GF0706"," Health not elsewhere classified",0,8,24,0,0,"M",0,"M",0,0,0,792,0,"M",0,"M",167,0,"M",29,"M",0,1,9,"L","L",0,0,0,1,0,992,"GF07",2004
"GF0801"," Recreational & Sporting Services",24,19,0,0,0,"M",0,"M",0,0,0,179,0,"M",0,"M",188,0,"M",28,"M",0,124,127,"L","L",17,0,7,124,0,534,"GF08",2004
"GF0802"," Cultural Services",172,467,1,0,0,"M",0,"M",0,0,0,758,0,"M",64,"M",356,0,"M",97,"M",0,551,783,"L","L",170,0,2,551,0,2305,"GF08",2004
"GF0803"," Broadcasting & Publishing Services",92,976,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,2325,3476,"L","L",92,0,0,2325,0,3393,"GF08",2004
"GF0804"," Religious & Other Community Services",0,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",9,0,"M",0,"M",0,0,1,"L","L",0,0,0,0,0,10,"GF08",2004
"GF0805"," Research and Development Recreation,  Culture & Religion",1,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1,59,"L","L",1,0,0,1,0,2,"GF08",2004
"GF0806"," Recreation, Culture & Religion not elsewhere classified",2,24,0,0,0,"M",0,"M",0,0,0,16,0,"M",0,"M",0,0,"M",0,"M",0,30,109,"L","L",2,0,0,30,0,72,"GF08",2004
"GF0901"," Pre-primary  & Primary Education",2,416,0,0,0,"M",0,"M",0,0,0,1940,0,"M",1403,"M",481,0,"M",444,"M",0,134,550,"L","L",2,0,0,134,0,2973,"GF09",2004
"GF0902"," Secondary Education",256,471,0,0,0,"M",0,"M",0,0,0,2132,0,"M",1640,"M",433,0,"M",425,"M",0,55,532,"L","L",256,0,0,55,0,3347,"GF09",2004
"GF0903"," Post-Secondary Non-Tertiary Education",12,141,0,0,0,"M",0,"M",0,0,0,6708,0,"M",426,"M",330,0,"M",0,"M",0,89,275,"L","L",12,0,0,89,0,7280,"GF09",2004
"GF0904"," Tertiary Education",5,39,0,0,0,"M",0,"M",0,0,0,7297,0,"M",290,"M",836,0,"M",0,"M",0,329,239,"L","L",5,0,0,329,0,8506,"GF09",2004
"GF0905"," Education not Definable by Level",41,83,195,0,0,"M",0,"M",0,0,0,1727,0,"M",65,"M",64,0,"M",0,"M",0,1107,1082,"L","L",41,0,0,1107,0,3217,"GF09",2004
"GF0906"," Subsidiary Services to Education",0,70,0,0,0,"M",0,"M",0,0,0,241,0,"M",51,"M",39,0,"M",20,"M",0,129,199,"L","L",0,0,0,129,0,479,"GF09",2004
"GF0907"," Research and Development Education",45,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,25,39,"L","L",45,0,0,25,0,70,"GF09",2004
"GF0908"," Education not elsewhere classified",74,404,0,0,0,"M",0,"M",0,0,0,28564,0,"M",27119,"M",2473,0,"M",2272,"M",0,404,823,"L","L",74,0,0,404,0,31919,"GF09",2004
"GF1001"," Sickness & Disability",8,721,0,0,0,"M",0,"M",24811,0,24811,1156,0,"M",1144,"M",0,0,"M",0,"M",0,552,1249,"L","L",8,0,0,552,0,27248,"GF10",2004
"GF1002"," Old Age",4,633,0,0,0,"M",0,"M",73542,0,73542,1,0,"M",0,"M",0,0,"M",0,"M",0,184,815,"L","L",4,0,0,184,0,74364,"GF10",2004
"GF1003"," Survivors",0,0,0,0,0,"M",0,"M",1854,0,1854,0,0,"M",0,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,1854,"GF10",2004
"GF1004"," Family & Children",1,244,0,0,0,"M",0,"M",27075,0,27075,347,0,"M",319,"M",517,0,"M",14,"M",0,39,286,"L","L",1,0,0,39,0,28223,"GF10",2004
"GF1005"," Unemployment",0,1042,0,0,0,"M",0,"M",2681,0,2681,0,0,"M",0,"M",0,0,"M",0,"M",0,284,1150,"L","L",0,0,0,284,0,4007,"GF10",2004
"GF1006"," Housing",1,22,0,0,0,"M",0,"M",319,0,319,19399,0,"M",19393,"M",63,0,"M",0,"M",0,13,39,"L","L",1,0,0,13,0,19817,"GF10",2004
"GF1007"," Social Exclusion not elsewhere classified",0,1,51,0,0,"M",0,"M",11851,0,11851,337,0,"M",274,"M",17,0,"M",13,"M",0,175,176,"L","L",0,0,0,175,0,12432,"GF10",2004
"GF1008"," Research and Development Social Protection",5,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1,4,"L","L",5,0,0,1,0,6,"GF10",2004
"GF1009"," Social Protection not elsewhere classified",42,399,0,0,0,"M",0,"M",59,0,59,767,0,"M",69,"M",97,0,"M",0,"M",0,3000,2607,"L","L",42,0,0,3000,0,4364,"GF10",2004
