"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",680,4370,28,0,0,"M",0,"M",0,0,0,6285,0,"M",9,"M",256,0,"M",260,"M",0,4387,7710,"L","L",633,0,47,4917,530,16536,"GF01",2004
"GF0102"," Foreign Economic Aid",36,91,0,0,0,"M",0,"M",0,0,0,2085,0,"M",1,"M",729,0,"M",33,"M",0,126,251,"L","L",36,0,0,126,0,3067,"GF01",2004
"GF0103"," General Services",44,262,0,0,0,"M",0,"M",0,0,0,74,0,"M",0,"M",14,0,"M",0,"M",0,199,377,"L","L",44,0,0,199,0,593,"GF01",2004
"GF0104"," Basic Research",162,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,28,7,"L","L",162,0,0,28,0,191,"GF01",2004
"GF0105"," Research and Development General Public Services",21,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",5,0,"M",0,"M",0,17,20,"L","L",21,0,0,17,0,43,"GF01",2004
"GF0106"," General Public Services not elsewhere classified",2,55,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",3,"M",0,143,197,"L","L",2,0,0,143,0,203,"GF01",2004
"GF0107"," Public Debt Transactions",0,0,0,25215,0,"M",23,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,79,79,"L","L",0,0,0,79,0,25294,"GF01",2004
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,30333,0,"M",30333,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,30333,"GF01",2004
"GF0201"," Military Defence",7040,9555,0,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",0,0,"M",0,"M",0,9097,23971,"L","L",7014,0,26,9097,0,25711,"GF02",2004
"GF0202"," Civil Defence",46,0,0,0,0,"M",0,"M",0,0,0,7,0,"M",7,"M",0,0,"M",0,"M",0,9,21,"L","L",46,0,0,9,0,62,"GF02",2004
"GF0203"," Foreign Military Aid",0,180,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,892,1104,"L","L",0,0,0,892,0,1072,"GF02",2004
"GF0204"," Research and Development Defence",608,6,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,439,628,"L","L",608,0,0,439,0,1056,"GF02",2004
"GF0205"," Defence not elsewhere classified",105,1209,0,0,0,"M",0,"M",0,0,0,152,0,"M",0,"M",0,0,"M",0,"M",0,1385,2638,"L","L",105,0,0,1385,0,2851,"GF02",2004
"GF0301"," Police services",249,1295,-4,0,0,"M",0,"M",0,0,0,6679,0,"M",6476,"M",364,0,"M",362,"M",0,1868,3150,"L","L",249,0,0,1868,0,10451,"GF03",2004
"GF0302"," Fire protection services",4,55,0,0,0,"M",0,"M",0,0,0,50,0,"M",50,"M",23,0,"M",4,"M",0,64,123,"L","L",4,0,0,64,0,196,"GF03",2004
"GF0303"," Law Courts",159,1775,0,0,0,"M",0,"M",0,0,0,501,0,"M",396,"M",44,0,"M",43,"M",0,4925,5975,"L","L",159,0,0,4925,0,7404,"GF03",2004
"GF0304"," Prisons",369,1772,0,0,0,"M",0,"M",0,0,0,233,0,"M",0,"M",0,0,"M",0,"M",0,1356,2917,"L","L",369,0,0,1356,0,3730,"GF03",2004
"GF0305"," Research and Development public order and safety",48,22,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,20,37,"L","L",48,0,0,20,0,90,"GF03",2004
"GF0306"," Public order and safety not elsewhere classified",16,145,0,0,0,"M",0,"M",0,0,0,7,0,"M",0,"M",0,0,"M",0,"M",0,263,405,"L","L",16,0,0,263,0,431,"GF03",2004
