"D1","D3","D4","D4.1","D4.3","D62","D632","D6M","D7","D7.1","D7.3","D9","D9.1","D9.3","D92","NP","OEC","OED","OTE","P2","P3","P5","P51G","P5LN","code","description","epoch","segment_code","year"
4123.9564628713,1.6191427023444445,0.0,0,0.0,0.0,0.0,0.0,13233.253306261144,0,8.095713511722222,14794.916442672362,0,301.1605426360667,0,25.90628323751111,4612.12798762815,1023.2981878816889,37606.20840465207,3588.829799746461,6445.807098033233,814.4287792792555,0,840.3350625167667,"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",1577836800000.0,"GF01",2020
187.01098212078332,0.0,0.0,0,0.0,0.0,0.0,0.0,4868.762105949744,0,0.0,2662.680174005439,0,0.0,0,0.0,-51.81256647502222,0.0,7671.498123707978,-51.81256647502222,144.91327185982777,4.857428107033334,0,4.857428107033334,"GF0102"," Foreign Economic Aid",1577836800000.0,"GF01",2020
351.35396640874444,0.8095713511722222,0.0,0,0.0,0.0,0.0,0.0,78.52842106370555,0,27.525425939855555,4.857428107033334,0,0.8095713511722222,0,-5.666999458205556,617.7029409444056,0.0,1089.683038677811,617.7029409444056,636.3230820213666,42.09771026095556,0,36.43071080275,"GF0103"," General Services",1577836800000.0,"GF01",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.953141618755556,0.0,0,0.0,"GF0104"," Basic Research",1577836800000.0,"GF01",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.381855672272222,0,1.6191427023444445,0,0.0,89.86241998011667,0.0,389.4038199138389,89.86241998011667,150.58027131803334,284.15954426145,0,284.15954426145,"GF0105"," Research and Development General Public Services",1577836800000.0,"GF01",2020
233.1565491376,4.857428107033334,0.0,0,0.0,0.0,0.0,0.0,-232.34697778642777,0,-232.34697778642777,106.86341835473334,0,106.86341835473334,0,0.0,412.88138909783333,0.0,539.1745198807,412.88138909783333,603.9402279744778,13.762712969927778,0,13.762712969927778,"GF0106"," General Public Services not elsewhere classified",1577836800000.0,"GF01",2020
0.0,0.0,33610.16421526598,0,12.143570267583334,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,46.95513836798889,0.0,33657.11935363397,46.95513836798889,46.95513836798889,0.0,0,0.0,"GF0107"," Public Debt Transactions",1577836800000.0,"GF01",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10324.46344149935,0,10324.46344149935,0.0,0,0.0,0,0.0,0.0,0.0,10324.46344149935,0.0,0.0,0.0,0,0.0,"GF0108"," Transfers between different levels of Government",1577836800000.0,"GF01",2020
11757.404733074183,0.0,0.0,0,0.0,0.0,0.0,0.0,164.34298428796112,0,0.0,0.0,0,0.0,0,-30.763711344544443,14133.496648764656,0.0,34380.87614158193,14133.496648764656,33073.4184094388,8356.395486799678,0,8325.631775455133,"GF0201"," Military Defence",1577836800000.0,"GF02",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,"GF0202"," Civil Defence",1577836800000.0,"GF02",2020
49.38385242150556,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,356.2113945157778,0.0,418.5483885560389,356.2113945157778,499.5055236732611,12.953141618755556,0,12.953141618755556,"GF0203"," Foreign Military Aid",1577836800000.0,"GF02",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,693.8026479545945,0.0,1730.8635488062112,693.8026479545945,1158.49660352745,1037.0609008516167,0,1037.0609008516167,"GF0204"," Research and Development Defence",1577836800000.0,"GF02",2020
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,181.3439826625778,0.0,182.15355401375,181.3439826625778,216.15555076298332,0.8095713511722222,0,0.8095713511722222,"GF0205"," Defence not elsewhere classified",1577836800000.0,"GF02",2020
3168.6622684880776,0.0,0.0,0,0.0,0.0,0.0,0.0,8902.046577489755,0,8718.27388077366,129.53141618755555,0,114.95913186645555,0,13.762712969927778,2355.8526319111666,0.0,14985.165710197833,2355.8526319111666,5281.643495047578,415.31010315135,0,429.0728161212778,"GF0301"," Police services",1577836800000.0,"GF03",2020
304.3988280407556,0.0,0.0,0,0.0,0.0,0.0,0.0,8.095713511722222,0,8.095713511722222,0.8095713511722222,0,0.8095713511722222,0,0.0,61.52742268908889,0.0,404.7856755861111,61.52742268908889,382.9272491044611,29.954139993372223,0,29.954139993372223,"GF0302"," Fire protection services",1577836800000.0,"GF03",2020
2538.0061859249167,0.0,0.0,0,0.0,0.0,0.0,0.0,134.3888442945889,0,87.4337059266,0.0,0,0.0,0,4.047856755861111,4128.004319627161,0.0,7082.939751405772,4128.004319627161,5645.950603075078,278.49254480324447,0,282.54040155910553,"GF0303"," Law Courts",1577836800000.0,"GF03",2020
1584.3311342440388,0.0,0.0,0,0.0,0.0,0.0,0.0,70.43270755198333,0,63.146565391433334,0.0,0,0.0,0,0.0,1971.3062401043612,0.0,3971.7570488509223,1971.3062401043612,3530.540662462061,345.6869669505389,0,345.6869669505389,"GF0304"," Prisons",1577836800000.0,"GF03",2020
16.191427023444444,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.238285404688889,0.0,54.24128052853889,3.238285404688889,34.81156810040556,34.81156810040556,0,34.81156810040556,"GF0305"," Research and Development public order and safety",1577836800000.0,"GF03",2020
229.1086923817389,0.0,0.0,0,0.0,0.0,0.0,0.0,1678.2414109800168,0,1672.574411521811,0.0,0,0.0,0,51.00299512385,1076.7298970590555,0.0,3204.2834079396557,1076.7298970590555,1331.7448726783057,169.20041239499446,0,220.20340751884444,"GF0306"," Public order and safety not elsewhere classified",1577836800000.0,"GF03",2020
2036.071948198139,57014.871977654926,0.0,0,0.0,0.0,0.0,0.0,4942.4330989064165,0,4497.9784271128665,2663.4897453566114,0,2384.1876292021943,0,4.047856755861111,2250.608356258778,0.0,69164.10924469646,2250.608356258778,3756.411069439111,252.58626156573334,0,256.6341183215944,"GF0401"," General economic, commercial and labour affairs",1577836800000.0,"GF04",2020
606.3689420279944,2050.644232519239,0.0,0,0.0,0.0,0.0,0.0,246.10969075635555,0,111.72084646176667,105.2442756523889,0,44.52642431447222,0,-1.6191427023444445,952.0559089785334,0.0,4069.715182342761,952.0559089785334,1454.7997180564832,110.91127511059445,0,109.29213240825,"GF0402"," Agriculture, forestry, fishing and hunting",1577836800000.0,"GF04",2020
96.33899078949445,6713.775215271239,0.0,0,0.0,0.0,0.0,0.0,26.715854588683335,0,12.143570267583334,23.477569183994444,0,0.0,0,0.0,246.91926210752777,0.0,7110.465177345628,246.91926210752777,306.82754209427225,3.238285404688889,0,3.238285404688889,"GF0403"," Fuel and Energy",1577836800000.0,"GF04",2020
4.047856755861111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.095713511722222,0,8.095713511722222,0,0.0,23.477569183994444,0.0,35.621139451577776,23.477569183994444,23.477569183994444,0.0,0,0.0,"GF0404"," Mining, manufacturing and construction",1577836800000.0,"GF04",2020
2411.71305514205,9074.485275289439,0.0,0,0.0,0.0,0.0,0.0,1027.34604463755,0,873.5274879148278,4285.870733105745,0,3265.8108306287445,0,-208.05983725126111,4434.0222903702615,0.0,31477.753276278345,4434.0222903702615,7766.217971795128,10452.37571498456,0,10244.3158777333,"GF0405"," Transport",1577836800000.0,"GF04",2020
0.0,40.47856755861111,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,39.66899620743889,0,0.0,0,0.0,21.85842648165,0.0,103.62513295004445,21.85842648165,25.096711886338888,1.6191427023444445,0,1.6191427023444445,"GF0406"," Communication",1577836800000.0,"GF04",2020
