"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",539,3757,28,0,0,"M",0,"M",0,0,0,6413,0,"M",15,"M",208,0,"M",185,"M",0,3151,6716,"L","L",509,0,30,3694,543,14639,"GF01",2003,1041379200000.0
"GF0102"," Foreign Economic Aid",29,73,0,0,0,"M",0,"M",0,0,0,2000,0,"M",2,"M",653,0,"M",55,"M",0,104,213,"L","L",29,0,0,104,0,2859,"GF01",2003,1041379200000.0
"GF0103"," General Services",36,235,0,0,0,"M",0,"M",0,0,0,45,0,"M",0,"M",5,0,"M",0,"M",0,212,347,"L","L",36,0,0,212,0,533,"GF01",2003,1041379200000.0
"GF0104"," Basic Research",95,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,32,20,"L","L",95,0,0,32,0,128,"GF01",2003,1041379200000.0
"GF0105"," Research and Development General Public Services",26,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",8,0,"M",0,"M",0,20,18,"L","L",26,0,0,20,0,54,"GF01",2003,1041379200000.0
"GF0106"," General Public Services not elsewhere classified",3,46,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",2,0,"M",2,"M",0,70,113,"L","L",3,0,0,70,0,121,"GF01",2003,1041379200000.0
"GF0107"," Public Debt Transactions",0,0,0,23518,0,"M",41,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-26,-26,"L","L",0,0,0,-26,0,23492,"GF01",2003,1041379200000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,29257,0,"M",29257,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,29257,"GF01",2003,1041379200000.0
"GF0201"," Military Defence",6004,9346,0,0,0,"M",0,"M",0,0,0,16,0,"M",0,"M",0,0,"M",0,"M",0,8730,24079,"L","L",5987,0,17,8730,0,24096,"GF02",2003,1041379200000.0
"GF0202"," Civil Defence",41,0,0,0,0,"M",0,"M",0,0,0,1,0,"M",1,"M",0,0,"M",0,"M",0,7,10,"L","L",41,0,0,7,0,49,"GF02",2003,1041379200000.0
"GF0203"," Foreign Military Aid",0,214,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1170,1425,"L","L",0,0,0,1170,0,1384,"GF02",2003,1041379200000.0
"GF0204"," Research and Development Defence",548,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,406,596,"L","L",548,0,0,406,0,958,"GF02",2003,1041379200000.0
"GF0205"," Defence not elsewhere classified",-126,1193,0,0,0,"M",0,"M",0,0,0,131,0,"M",0,"M",0,0,"M",0,"M",0,601,2252,"L","L",-126,0,0,601,0,1799,"GF02",2003,1041379200000.0
"GF0301"," Police services",232,1015,0,0,0,"M",0,"M",0,0,0,6216,0,"M",6149,"M",450,0,"M",384,"M",0,1732,2841,"L","L",232,0,0,1732,0,9645,"GF03",2003,1041379200000.0
"GF0302"," Fire protection services",4,47,0,0,0,"M",0,"M",0,0,0,15,0,"M",15,"M",27,0,"M",0,"M",0,101,145,"L","L",4,0,0,101,0,194,"GF03",2003,1041379200000.0
"GF0303"," Law Courts",92,1605,0,0,0,"M",0,"M",0,0,0,442,0,"M",378,"M",43,0,"M",40,"M",0,4074,5219,"L","L",92,0,0,4074,0,6256,"GF03",2003,1041379200000.0
"GF0304"," Prisons",265,1610,0,0,0,"M",0,"M",0,0,0,155,0,"M",0,"M",0,0,"M",0,"M",0,1326,2798,"L","L",266,0,-1,1326,0,3356,"GF03",2003,1041379200000.0
"GF0305"," Research and Development public order and safety",30,17,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,9,35,"L","L",30,0,0,9,0,56,"GF03",2003,1041379200000.0
"GF0306"," Public order and safety not elsewhere classified",21,116,0,0,0,"M",0,"M",0,0,0,6,0,"M",0,"M",0,0,"M",0,"M",0,244,359,"L","L",21,0,0,244,0,387,"GF03",2003,1041379200000.0
"GF0401"," General economic, commercial and labour affairs",193,1528,184,0,0,"M",0,"M",0,0,0,968,0,"M",428,"M",1150,0,"M",655,"M",0,1953,3424,"L","L",193,0,0,1953,0,5976,"GF04",2003,1041379200000.0
"GF0402"," Agriculture, forestry, fishing and hunting",529,611,-230,0,0,"M",0,"M",0,0,0,107,0,"M",14,"M",51,0,"M",5,"M",0,951,1371,"L","L",134,0,395,951,0,2019,"GF04",2003,1041379200000.0
"GF0403"," Fuel and Energy",0,20,450,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",5,0,"M",0,"M",0,107,103,"L","L",0,0,0,107,0,594,"GF04",2003,1041379200000.0
"GF0404"," Mining, manufacturing and construction",0,0,6,0,0,"M",0,"M",0,0,0,79,0,"M",0,"M",0,0,"M",0,"M",0,20,15,"L","L",0,0,0,20,0,105,"GF04",2003,1041379200000.0
"GF0405"," Transport",373,471,2827,0,0,"M",0,"M",0,0,0,2188,0,"M",2059,"M",5398,0,"M",2847,"M",0,1366,3561,"L","L",498,0,-125,1366,0,12623,"GF04",2003,1041379200000.0
"GF0406"," Communication",70,22,65,0,0,"M",0,"M",0,0,0,91,0,"M",0,"M",43,0,"M",0,"M",0,190,138,"L","L",70,0,0,190,0,481,"GF04",2003,1041379200000.0
"GF0407"," Other Industries",1,26,186,0,0,"M",0,"M",0,0,0,81,0,"M",0,"M",1,0,"M",0,"M",0,116,124,"L","L",1,0,0,116,0,411,"GF04",2003,1041379200000.0
"GF0408"," Research and Development Economic Affairs",835,149,957,0,0,"M",0,"M",0,0,0,117,0,"M",0,"M",948,0,"M",0,"M",0,402,472,"L","L",835,0,0,402,0,3408,"GF04",2003,1041379200000.0
"GF0409"," Economic Affairs not elsewhere classified",20,100,0,0,0,"M",0,"M",0,0,0,95,0,"M",2,"M",132,0,"M",23,"M",0,271,381,"L","L",20,0,0,271,0,618,"GF04",2003,1041379200000.0
"GF0501"," Waste Management",278,10,14,0,0,"M",0,"M",0,0,0,54,0,"M",49,"M",479,0,"M",106,"M",0,147,284,"L","L",282,0,-4,147,0,982,"GF05",2003,1041379200000.0
"GF0502"," Water Waste Management",0,0,0,0,0,"M",0,"M",0,0,0,7,0,"M",0,"M",3,0,"M",0,"M",0,6,6,"L","L",0,0,0,6,0,16,"GF05",2003,1041379200000.0
"GF0503"," Pollution Abatement",0,5,0,0,0,"M",0,"M",0,0,0,19,0,"M",1,"M",21,0,"M",1,"M",0,170,175,"L","L",0,0,0,170,0,215,"GF05",2003,1041379200000.0
"GF0504"," Protection of biodiversity and landscape",-6,78,0,0,0,"M",0,"M",0,0,0,93,0,"M",55,"M",15,0,"M",4,"M",0,206,254,"L","L",10,0,-16,206,0,386,"GF05",2003,1041379200000.0
"GF0505"," Research and Development Environmental Protection",206,81,0,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",45,0,"M",0,"M",0,46,72,"L","L",206,0,0,46,0,397,"GF05",2003,1041379200000.0
"GF0506"," Environmental Protection not elsewhere classified",549,147,-6,0,0,"M",0,"M",0,0,0,76,0,"M",0,"M",373,0,"M",63,"M",0,404,1206,"L","L",549,0,0,404,0,1543,"GF05",2003,1041379200000.0
"GF0601"," Housing Development",-32,33,463,0,0,"M",0,"M",0,0,0,837,0,"M",405,"M",4705,0,"M",2485,"M",0,31,213,"L","L",-32,0,0,31,0,6037,"GF06",2003,1041379200000.0
"GF0602"," Community Development",-51,29,6,0,0,"M",0,"M",0,0,0,365,0,"M",214,"M",218,0,"M",179,"M",0,140,171,"L","L",4,0,-55,140,0,707,"GF06",2003,1041379200000.0
"GF0603"," Water supply",148,99,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,41,220,"L","L",148,0,0,41,0,288,"GF06",2003,1041379200000.0
"GF0604"," Street Lighting",4,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,13,29,"L","L",4,0,0,13,0,17,"GF06",2003,1041379200000.0
