"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",754,4605,33,0,0,"M",0,"M",0,0,0,7933,0,"M",10,"M",260,0,"M",254,"M",0,2989,6465,"L","L",751,0,3,3520,531,17105,"GF01",2005,1104537600000.0
"GF0102"," Foreign Economic Aid",30,97,0,0,0,"M",0,"M",0,0,0,2408,0,"M",3,"M",1968,0,"M",28,"M",0,256,384,"L","L",30,0,0,256,0,4759,"GF01",2005,1104537600000.0
"GF0103"," General Services",29,317,0,0,0,"M",0,"M",0,0,0,126,0,"M",0,"M",55,0,"M",0,"M",0,214,413,"L","L",29,0,0,214,0,741,"GF01",2005,1104537600000.0
"GF0104"," Basic Research",229,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,30,7,"L","L",229,0,0,30,0,260,"GF01",2005,1104537600000.0
"GF0105"," Research and Development General Public Services",16,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",12,0,"M",0,"M",0,11,18,"L","L",16,0,0,11,0,39,"GF01",2005,1104537600000.0
"GF0106"," General Public Services not elsewhere classified",5,48,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",17,0,"M",17,"M",0,175,207,"L","L",5,0,0,175,0,245,"GF01",2005,1104537600000.0
"GF0107"," Public Debt Transactions",0,0,0,28270,0,"M",21,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,112,112,"L","L",0,0,0,112,0,28382,"GF01",2005,1104537600000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,32297,0,"M",32297,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,32297,"GF01",2005,1104537600000.0
"GF0201"," Military Defence",6985,9970,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,9977,25515,"L","L",6970,0,15,9977,0,26932,"GF02",2005,1104537600000.0
"GF0202"," Civil Defence",18,3,0,0,0,"M",0,"M",0,0,0,18,0,"M",18,"M",1,0,"M",1,"M",0,10,25,"L","L",18,0,0,10,0,50,"GF02",2005,1104537600000.0
"GF0203"," Foreign Military Aid",0,129,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,995,1150,"L","L",0,0,0,995,0,1124,"GF02",2005,1104537600000.0
"GF0204"," Research and Development Defence",600,11,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,421,677,"L","L",600,0,0,421,0,1035,"GF02",2005,1104537600000.0
"GF0205"," Defence not elsewhere classified",-18,1284,0,0,0,"M",0,"M",0,0,0,124,0,"M",0,"M",0,0,"M",0,"M",0,951,2283,"L","L",-18,0,0,951,0,2341,"GF02",2005,1104537600000.0
"GF0301"," Police services",287,1389,-6,0,0,"M",0,"M",0,0,0,6963,0,"M",6848,"M",369,0,"M",369,"M",0,2014,3211,"L","L",287,0,0,2014,0,11016,"GF03",2005,1104537600000.0
"GF0302"," Fire protection services",7,49,0,0,0,"M",0,"M",0,0,0,26,0,"M",26,"M",20,0,"M",2,"M",0,60,105,"L","L",7,0,0,60,0,162,"GF03",2005,1104537600000.0
"GF0303"," Law Courts",214,2344,0,0,0,"M",0,"M",0,0,0,173,0,"M",122,"M",15,0,"M",15,"M",0,4996,6425,"L","L",214,0,0,4996,0,7742,"GF03",2005,1104537600000.0
"GF0304"," Prisons",480,1759,0,0,0,"M",0,"M",0,0,0,150,0,"M",0,"M",0,0,"M",0,"M",0,1776,3298,"L","L",480,0,0,1776,0,4165,"GF03",2005,1104537600000.0
"GF0305"," Research and Development public order and safety",53,11,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",1,0,"M",1,"M",0,15,17,"L","L",53,0,0,15,0,80,"GF03",2005,1104537600000.0
"GF0306"," Public order and safety not elsewhere classified",12,150,0,0,0,"M",0,"M",0,0,0,13,0,"M",0,"M",0,0,"M",0,"M",0,287,417,"L","L",12,0,0,287,0,462,"GF03",2005,1104537600000.0
"GF0401"," General economic, commercial and labour affairs",224,1602,345,0,0,"M",0,"M",0,0,0,1207,0,"M",590,"M",1411,0,"M",664,"M",0,2114,3608,"L","L",225,0,-1,2114,0,6903,"GF04",2005,1104537600000.0
"GF0402"," Agriculture, forestry, fishing and hunting",646,691,242,0,0,"M",0,"M",0,0,0,107,0,"M",12,"M",55,0,"M",0,"M",0,1360,1685,"L","L",182,0,464,1360,0,3101,"GF04",2005,1104537600000.0
"GF0403"," Fuel and Energy",0,17,582,0,0,"M",0,"M",0,0,0,8,0,"M",0,"M",174,0,"M",0,"M",0,297,293,"L","L",0,0,0,297,0,1078,"GF04",2005,1104537600000.0
"GF0404"," Mining, manufacturing and construction",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,9,8,"L","L",0,0,0,9,0,9,"GF04",2005,1104537600000.0
"GF0405"," Transport",5231,1677,1787,0,0,"M",0,"M",0,0,0,3005,0,"M",2849,"M",1305,0,"M",1060,"M",0,2203,3963,"L","L",5322,0,-91,2203,0,15208,"GF04",2005,1104537600000.0
"GF0406"," Communication",81,7,32,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",32,0,"M",0,"M",0,184,115,"L","L",81,0,0,184,0,348,"GF04",2005,1104537600000.0
"GF0407"," Other Industries",0,25,0,0,0,"M",0,"M",0,0,0,2,0,"M",1,"M",3,0,"M",0,"M",0,111,115,"L","L",0,0,0,111,0,141,"GF04",2005,1104537600000.0
"GF0408"," Research and Development Economic Affairs",859,119,666,0,0,"M",0,"M",0,0,0,38,0,"M",0,"M",1224,0,"M",0,"M",0,344,511,"L","L",859,0,0,344,0,3250,"GF04",2005,1104537600000.0
"GF0409"," Economic Affairs not elsewhere classified",22,121,0,0,0,"M",0,"M",0,0,0,72,0,"M",8,"M",46,0,"M",38,"M",0,193,326,"L","L",22,0,0,193,0,454,"GF04",2005,1104537600000.0
"GF0501"," Waste Management",7250,8,0,0,0,"M",0,"M",0,0,0,58,0,"M",57,"M",338,0,"M",125,"M",0,2070,1003,"L","L",7258,0,-8,2070,0,9724,"GF05",2005,1104537600000.0
"GF0502"," Water Waste Management",31,0,0,0,0,"M",0,"M",0,0,0,8,0,"M",0,"M",0,0,"M",0,"M",0,12,10,"L","L",31,0,0,12,0,51,"GF05",2005,1104537600000.0
"GF0503"," Pollution Abatement",0,11,0,0,0,"M",0,"M",0,0,0,1,0,"M",0,"M",3,0,"M",1,"M",0,267,278,"L","L",0,0,0,267,0,282,"GF05",2005,1104537600000.0
"GF0504"," Protection of biodiversity and landscape",-14,107,28,0,0,"M",0,"M",0,0,0,80,0,"M",48,"M",13,0,"M",0,"M",0,240,352,"L","L",6,0,-20,240,0,454,"GF05",2005,1104537600000.0
"GF0505"," Research and Development Environmental Protection",248,99,0,0,0,"M",0,"M",0,0,0,11,0,"M",0,"M",102,0,"M",0,"M",0,61,109,"L","L",248,0,0,61,0,521,"GF05",2005,1104537600000.0
"GF0506"," Environmental Protection not elsewhere classified",168,333,0,0,0,"M",0,"M",0,0,0,93,0,"M",0,"M",605,0,"M",78,"M",0,449,997,"L","L",168,0,0,449,0,1648,"GF05",2005,1104537600000.0
"GF0601"," Housing Development",-8,60,364,0,0,"M",0,"M",0,0,0,714,0,"M",561,"M",4438,0,"M",2170,"M",0,84,221,"L","L",0,0,-8,84,0,5652,"GF06",2005,1104537600000.0
"GF0602"," Community Development",-237,52,8,0,0,"M",0,"M",0,0,0,571,0,"M",415,"M",332,0,"M",270,"M",0,123,154,"L","L",5,0,-242,123,0,849,"GF06",2005,1104537600000.0
"GF0603"," Water supply",254,101,0,0,0,"M",0,"M",0,0,0,8,0,"M",0,"M",0,0,"M",0,"M",0,94,276,"L","L",254,0,0,94,0,457,"GF06",2005,1104537600000.0
"GF0604"," Street Lighting",6,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,12,25,"L","L",6,0,0,12,0,18,"GF06",2005,1104537600000.0
"GF0605"," Research and Development Housing & Community amenities",3,0,0,0,0,"M",0,"M",0,0,0,1,0,"M",1,"M",13,0,"M",0,"M",0,4,5,"L","L",3,0,0,4,0,21,"GF06",2005,1104537600000.0
"GF0606"," Housing & Community amenities not elsewhere classified",0,47,0,0,0,"M",0,"M",0,0,0,34,0,"M",13,"M",165,0,"M",91,"M",0,52,92,"L","L",0,0,0,52,0,298,"GF06",2005,1104537600000.0
"GF0701"," Medical Products appliances and equipment",0,0,0,0,0,"M",0,"M",0,7896,7896,0,0,"M",0,"M",0,0,"M",0,"M",0,1396,9280,"L","L",0,0,0,1396,0,9292,"GF07",2005,1104537600000.0
"GF0702"," Outpatient Services",100,78,0,0,0,"M",0,"M",0,8848,8848,7,0,"M",0,"M",0,0,"M",0,"M",0,5543,14548,"L","L",100,0,0,5543,0,14576,"GF07",2005,1104537600000.0
"GF0703"," Hospital Services",3957,44406,0,0,0,"M",0,"M",0,2846,2846,1678,0,"M",1252,"M",133,0,"M",59,"M",0,9510,59480,"L","L",3946,0,11,9510,0,62530,"GF07",2005,1104537600000.0
"GF0704"," Public Health Services",0,8,26,0,0,"M",0,"M",0,103,103,24,0,"M",4,"M",0,0,"M",0,"M",0,159,267,"L","L",0,0,0,159,0,320,"GF07",2005,1104537600000.0
"GF0705"," Research and Development Health",816,165,0,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",218,0,"M",0,"M",0,403,621,"L","L",816,0,0,403,0,1606,"GF07",2005,1104537600000.0
"GF0706"," Health not elsewhere classified",0,6,41,0,0,"M",0,"M",0,0,0,922,0,"M",0,"M",203,0,"M",31,"M",0,0,6,"L","L",0,0,0,0,0,1172,"GF07",2005,1104537600000.0
"GF0801"," Recreational & Sporting Services",41,20,0,0,0,"M",0,"M",0,0,0,251,0,"M",1,"M",142,0,"M",51,"M",0,72,87,"L","L",39,0,2,72,0,526,"GF08",2005,1104537600000.0
"GF0802"," Cultural Services",183,523,1,0,0,"M",0,"M",0,0,0,810,0,"M",59,"M",408,0,"M",100,"M",0,679,930,"L","L",183,0,0,679,0,2604,"GF08",2005,1104537600000.0
"GF0803"," Broadcasting & Publishing Services",101,920,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,2590,3682,"L","L",101,0,0,2590,0,3611,"GF08",2005,1104537600000.0
"GF0804"," Religious & Other Community Services",0,1,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",11,0,"M",0,"M",0,0,1,"L","L",0,0,0,0,0,12,"GF08",2005,1104537600000.0
"GF0805"," Research and Development Recreation,  Culture & Religion",3,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",58,0,"M",0,"M",0,4,53,"L","L",3,0,0,4,0,65,"GF08",2005,1104537600000.0
"GF0806"," Recreation, Culture & Religion not elsewhere classified",3,31,0,0,0,"M",0,"M",0,0,0,50,0,"M",0,"M",0,0,"M",0,"M",0,40,124,"L","L",3,0,0,40,0,124,"GF08",2005,1104537600000.0
"GF0901"," Pre-primary  & Primary Education",6,420,0,0,0,"M",0,"M",0,0,0,2058,0,"M",1607,"M",589,0,"M",540,"M",0,110,530,"L","L",6,0,0,110,0,3183,"GF09",2005,1104537600000.0
"GF0902"," Secondary Education",335,542,0,0,0,"M",0,"M",0,0,0,2200,0,"M",1771,"M",462,0,"M",389,"M",0,82,641,"L","L",335,0,0,82,0,3621,"GF09",2005,1104537600000.0
