"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",448,3544,24,0,0,"M",0,"M",0,0,0,3241,0,"M",3,"M",-59,0,"M",40,"M",0,3490,6766,"L","L",428,0,20,3995,505,11193,"GF01",2001,978307200000.0
"GF0102"," Foreign Economic Aid",42,49,0,0,0,"M",0,"M",0,0,0,1729,0,"M",3,"M",717,0,"M",81,"M",0,58,141,"L","L",42,0,0,58,0,2595,"GF01",2001,978307200000.0
"GF0103"," General Services",-7,164,6,0,0,"M",0,"M",0,0,0,25,0,"M",0,"M",4,0,"M",0,"M",0,251,306,"L","L",-7,0,0,251,0,443,"GF01",2001,978307200000.0
"GF0104"," Basic Research",25,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,12,33,"L","L",25,0,0,12,0,41,"GF01",2001,978307200000.0
"GF0105"," Research and Development General Public Services",9,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",6,0,"M",0,"M",0,6,11,"L","L",9,0,0,6,0,21,"GF01",2001,978307200000.0
"GF0106"," General Public Services not elsewhere classified",0,31,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",12,0,"M",12,"M",0,61,92,"L","L",0,0,0,61,0,104,"GF01",2001,978307200000.0
"GF0107"," Public Debt Transactions",0,0,0,24685,0,"M",38,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-6,-6,"L","L",0,0,0,-6,0,24679,"GF01",2001,978307200000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,27663,0,"M",27663,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,27663,"GF01",2001,978307200000.0
"GF0201"," Military Defence",5241,8672,14,0,0,"M",0,"M",0,0,0,41,0,"M",0,"M",0,0,"M",0,"M",0,6976,21247,"L","L",5227,0,14,6976,0,20944,"GF02",2001,978307200000.0
"GF0202"," Civil Defence",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,4,4,"L","L",0,0,0,4,0,4,"GF02",2001,978307200000.0
"GF0203"," Foreign Military Aid",32,45,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,383,480,"L","L",32,0,0,383,0,460,"GF02",2001,978307200000.0
"GF0204"," Research and Development Defence",521,5,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,373,547,"L","L",521,0,0,373,0,902,"GF02",2001,978307200000.0
"GF0205"," Defence not elsewhere classified",-86,791,0,0,0,"M",0,"M",0,0,0,181,0,"M",0,"M",0,0,"M",0,"M",0,384,1529,"L","L",-86,0,0,384,0,1270,"GF02",2001,978307200000.0
"GF0301"," Police services",235,778,0,0,0,"M",0,"M",0,0,0,4691,0,"M",4546,"M",204,0,"M",91,"M",0,1185,2125,"L","L",235,0,0,1185,0,7093,"GF03",2001,978307200000.0
"GF0302"," Fire protection services",3,59,0,0,0,"M",0,"M",0,0,0,19,0,"M",19,"M",5,0,"M",0,"M",0,31,95,"L","L",3,0,0,31,0,117,"GF03",2001,978307200000.0
"GF0303"," Law Courts",106,1165,0,0,0,"M",0,"M",0,0,0,414,0,"M",352,"M",51,0,"M",32,"M",0,3410,4145,"L","L",106,0,0,3410,0,5146,"GF03",2001,978307200000.0
"GF0304"," Prisons",191,1279,0,0,0,"M",0,"M",0,0,0,96,0,"M",0,"M",0,0,"M",0,"M",0,1088,2350,"L","L",191,0,0,1088,0,2654,"GF03",2001,978307200000.0
"GF0305"," Research and Development public order and safety",40,8,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,17,33,"L","L",40,0,0,17,0,65,"GF03",2001,978307200000.0
"GF0306"," Public order and safety not elsewhere classified",3,113,0,0,0,"M",0,"M",0,0,0,71,0,"M",0,"M",0,0,"M",0,"M",0,183,303,"L","L",3,0,0,183,0,370,"GF03",2001,978307200000.0
"GF0401"," General economic, commercial and labour affairs",101,1339,460,0,0,"M",0,"M",0,0,0,1166,0,"M",341,"M",995,0,"M",485,"M",0,1377,2571,"L","L",101,0,0,1377,0,5438,"GF04",2001,978307200000.0
"GF0402"," Agriculture, forestry, fishing and hunting",413,506,-47,0,0,"M",0,"M",0,0,0,42,0,"M",9,"M",801,0,"M",0,"M",0,1723,2019,"L","L",56,0,357,1723,0,3438,"GF04",2001,978307200000.0
"GF0403"," Fuel and Energy",3,23,169,0,0,"M",0,"M",0,0,0,11,0,"M",0,"M",83,0,"M",0,"M",0,83,84,"L","L",3,0,0,83,0,372,"GF04",2001,978307200000.0
