"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",312,3288,0,0,0,"M",0,"M",0,0,0,4372,0,"M",0,"M",133,0,"M",21,"M",0,2788,5295,"L","L",294,0,18,2804,16,10909,"GF01",1996,820454400000.0
"GF0102"," Foreign Economic Aid",31,0,0,0,0,"M",0,"M",0,0,0,966,0,"M",268,"M",397,0,"M",158,"M",0,54,76,"L","L",31,0,0,54,0,1448,"GF01",1996,820454400000.0
"GF0103"," General Services",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,142,99,"L","L",0,0,0,142,0,146,"GF01",1996,820454400000.0
"GF0104"," Basic Research",42,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,11,18,"L","L",42,0,0,11,0,57,"GF01",1996,820454400000.0
"GF0105"," Research and Development General Public Services",11,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,6,8,"L","L",11,0,0,6,0,17,"GF01",1996,820454400000.0
"GF0106"," General Public Services not elsewhere classified",0,27,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",13,0,"M",13,"M",0,98,96,"L","L",0,0,0,98,0,138,"GF01",1996,820454400000.0
"GF0107"," Public Debt Transactions",0,0,0,27806,0,"M",17,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-8,-8,"L","L",0,0,0,-8,0,27798,"GF01",1996,820454400000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,23416,0,"M",23416,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,23416,"GF01",1996,820454400000.0
"GF0201"," Military Defence",5187,8932,0,0,0,"M",0,"M",0,0,0,18,0,"M",0,"M",0,0,"M",0,"M",0,6736,19822,"L","L",5182,0,5,6736,0,20873,"GF02",1996,820454400000.0
"GF0202"," Civil Defence",0,4,0,0,0,"M",0,"M",0,0,0,1,0,"M",1,"M",0,0,"M",0,"M",0,19,27,"L","L",0,0,0,19,0,24,"GF02",1996,820454400000.0
"GF0203"," Foreign Military Aid",31,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,349,404,"L","L",31,0,0,349,0,380,"GF02",1996,820454400000.0
