"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",353,4653,23,0,0,"M",0,"M",0,0,0,10877,0,"M",3,"M",16,0,"M",4,"M",0,4198,7691,"L","L",368,0,-15,4860,662,20782,"GF01",2010,1262304000000.0
"GF0102"," Foreign Economic Aid",18,116,0,0,0,"M",0,"M",0,0,0,4553,0,"M",0,"M",2126,0,"M",0,"M",0,207,355,"L","L",18,0,0,207,0,7020,"GF01",2010,1262304000000.0
"GF0103"," General Services",56,308,2,0,0,"M",0,"M",0,0,0,49,0,"M",1,"M",329,0,"M",249,"M",0,440,573,"L","L",59,0,-3,440,0,1184,"GF01",2010,1262304000000.0
"GF0104"," Basic Research",25,5,0,0,0,"M",0,"M",0,0,0,4,0,"M",4,"M",3,0,"M",0,"M",0,15,103,"L","L",25,0,0,15,0,52,"GF01",2010,1262304000000.0
"GF0105"," Research and Development General Public Services",40,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",7,0,"M",0,"M",0,10,15,"L","L",40,0,0,10,0,57,"GF01",2010,1262304000000.0
"GF0106"," General Public Services not elsewhere classified",5,64,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",32,0,"M",32,"M",0,249,304,"L","L",5,0,0,249,0,350,"GF01",2010,1262304000000.0
"GF0107"," Public Debt Transactions",-1,0,0,47184,0,"M",18,"M",0,0,0,0,0,"M",0,"M",403,0,"M",403,"M",0,49,49,"L","L",-1,0,0,49,0,47635,"GF01",2010,1262304000000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,19779,0,"M",19779,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,19779,"GF01",2010,1262304000000.0
"GF0201"," Military Defence",8360,12626,0,0,0,"M",0,"M",0,0,0,17,0,"M",0,"M",0,0,"M",0,"M",0,11830,31669,"L","L",8347,0,13,11830,0,32833,"GF02",2010,1262304000000.0
"GF0202"," Civil Defence",1,15,4,0,0,"M",0,"M",0,0,0,22,0,"M",22,"M",2,0,"M",0,"M",0,49,77,"L","L",1,0,0,49,0,93,"GF02",2010,1262304000000.0
"GF0203"," Foreign Military Aid",556,227,0,0,0,"M",0,"M",0,0,0,72,0,"M",0,"M",0,0,"M",0,"M",0,2870,3254,"L","L",556,0,0,2870,0,3725,"GF02",2010,1262304000000.0
"GF0204"," Research and Development Defence",1749,21,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",87,0,"M",0,"M",0,1600,1331,"L","L",1781,0,-32,1600,0,3457,"GF02",2010,1262304000000.0
