"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",580,4921,33,0,0,"M",0,"M",0,0,0,7972,0,"M",28,"M",36,0,"M",19,"M",0,4584,8267,"L","L",554,0,26,5180,596,18722,"GF01",2007,1167609600000.0
"GF0102"," Foreign Economic Aid",28,108,0,0,0,"M",0,"M",0,0,0,2981,0,"M",2,"M",1123,0,"M",42,"M",0,97,237,"L","L",28,0,0,97,0,4337,"GF01",2007,1167609600000.0
"GF0103"," General Services",50,281,0,0,0,"M",0,"M",0,0,0,113,0,"M",2,"M",11,0,"M",0,"M",0,290,422,"L","L",50,0,0,290,0,745,"GF01",2007,1167609600000.0
"GF0104"," Basic Research",106,11,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,33,99,"L","L",106,0,0,33,0,150,"GF01",2007,1167609600000.0
"GF0105"," Research and Development General Public Services",14,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",5,0,"M",0,"M",0,10,19,"L","L",14,0,0,10,0,29,"GF01",2007,1167609600000.0
"GF0106"," General Public Services not elsewhere classified",2,57,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",25,0,"M",25,"M",0,119,154,"L","L",2,0,0,119,0,203,"GF01",2007,1167609600000.0
"GF0107"," Public Debt Transactions",0,0,0,34457,0,"M",19,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,28,28,"L","L",0,0,0,28,0,34485,"GF01",2007,1167609600000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,38152,0,"M",38152,"M",184,0,"M",184,"M",0,0,0,"L","L",0,0,0,0,0,38336,"GF01",2007,1167609600000.0
"GF0201"," Military Defence",5813,10388,0,0,0,"M",0,"M",0,0,0,21,0,"M",0,"M",0,0,"M",0,"M",0,10713,27183,"L","L",7853,0,-2040,10713,0,26935,"GF02",2007,1167609600000.0
"GF0202"," Civil Defence",4,5,0,0,0,"M",0,"M",0,0,0,18,0,"M",18,"M",5,0,"M",5,"M",0,22,43,"L","L",4,0,0,22,0,54,"GF02",2007,1167609600000.0
"GF0203"," Foreign Military Aid",357,203,0,0,0,"M",0,"M",0,0,0,19,0,"M",0,"M",0,0,"M",0,"M",0,2015,2257,"L","L",357,0,0,2015,0,2594,"GF02",2007,1167609600000.0
"GF0204"," Research and Development Defence",639,16,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,431,705,"L","L",639,0,0,431,0,1090,"GF02",2007,1167609600000.0
"GF0205"," Defence not elsewhere classified",75,1455,0,0,0,"M",0,"M",0,0,0,152,0,"M",0,"M",0,0,"M",0,"M",0,669,2188,"L","L",75,0,0,669,0,2351,"GF02",2007,1167609600000.0
"GF0301"," Police services",377,1366,-13,0,0,"M",0,"M",0,0,0,7208,0,"M",7188,"M",226,0,"M",145,"M",0,2570,4014,"L","L",377,0,0,2570,0,11734,"GF03",2007,1167609600000.0
"GF0302"," Fire protection services",22,64,0,0,0,"M",0,"M",0,0,0,154,0,"M",153,"M",23,0,"M",14,"M",0,80,147,"L","L",22,0,0,80,0,343,"GF03",2007,1167609600000.0
"GF0303"," Law Courts",209,2509,0,0,0,"M",0,"M",0,0,0,120,0,"M",33,"M",1,0,"M",1,"M",0,4716,6273,"L","L",209,0,0,4716,0,7555,"GF03",2007,1167609600000.0
"GF0304"," Prisons",645,1894,0,0,0,"M",0,"M",0,0,0,21,0,"M",0,"M",0,0,"M",0,"M",0,2339,4110,"L","L",645,0,0,2339,0,4899,"GF03",2007,1167609600000.0
"GF0305"," Research and Development public order and safety",30,14,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,8,31,"L","L",30,0,0,8,0,52,"GF03",2007,1167609600000.0
"GF0306"," Public order and safety not elsewhere classified",22,199,0,0,0,"M",0,"M",0,0,0,15,0,"M",6,"M",0,0,"M",0,"M",0,320,473,"L","L",22,0,0,320,0,556,"GF03",2007,1167609600000.0
"GF0401"," General economic, commercial and labour affairs",69,1632,298,0,0,"M",0,"M",0,0,0,1598,0,"M",893,"M",1572,0,"M",837,"M",0,2492,3991,"L","L",63,0,6,2492,0,7661,"GF04",2007,1167609600000.0
"GF0402"," Agriculture, forestry, fishing and hunting",480,689,400,0,0,"M",0,"M",0,0,0,75,0,"M",3,"M",80,0,"M",1,"M",0,1049,1473,"L","L",128,0,352,1049,0,2773,"GF04",2007,1167609600000.0
"GF0403"," Fuel and Energy",1,26,833,0,0,"M",0,"M",0,0,0,775,0,"M",0,"M",59,0,"M",0,"M",0,295,225,"L","L",1,0,0,295,0,1989,"GF04",2007,1167609600000.0
"GF0404"," Mining, manufacturing and construction",0,0,1,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",0,0,"M",0,"M",0,8,6,"L","L",0,0,0,8,0,13,"GF04",2007,1167609600000.0
"GF0405"," Transport",5345,1872,2047,0,0,"M",0,"M",0,0,0,3513,0,"M",3188,"M",2748,0,"M",1981,"M",0,2624,3795,"L","L",5397,0,-52,2624,0,18149,"GF04",2007,1167609600000.0
