"D1","D3","D4","D4.1","D4.3","D62","D632","D6M","D7","D7.1","D7.3","D9","D9.1","D9.3","D92","NP","OEC","OED","OTE","P2","P3","P5","P51G","P5LN","code","description","segment_code","year"
4123.913334385356,1.619125769291463,0.0,0.0,0.0,0.0,0.0,0.0,13233.114912419127,0.0,8.095628846457315,14794.761716900743,0.0,301.1573930882121,0.0,25.906012308663406,4612.0797538267325,1023.2874861922046,37605.815117563514,3588.7922676345274,6445.739687549314,814.4202619536059,0.0,840.3262742622693,"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs","GF01",2020
187.00902635316396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4868.711188259429,0.0,0.0,2662.6523275998106,0.0,0.0,0.0,0.0,-51.81202461732681,0.0,7671.417894902951,-51.81202461732681,144.91175635158592,4.857377307874389,0.0,4.857377307874389,"GF0102"," Foreign Economic Aid","GF01",2020
351.35029193624746,0.8095628846457315,0.0,0.0,0.0,0.0,0.0,0.0,78.52759981063595,0.0,27.52513807795487,4.857377307874389,0.0,0.8095628846457315,0.0,-5.66694019252012,617.6964809846932,0.0,1089.6716427331546,617.6964809846932,636.3164273315449,42.09727000157804,0.0,36.430329809057916,"GF0103"," General Services","GF01",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.953006154331703,0.0,0.0,0.0,"GF0104"," Basic Research","GF01",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.381694808268897,0.0,1.619125769291463,0.0,0.0,89.8614801956762,0.0,389.3997475145968,89.8614801956762,150.57869654410604,284.15657251065176,0.0,284.15657251065176,"GF0105"," Research and Development General Public Services","GF01",2020
233.15411077797066,4.857377307874389,0.0,0.0,0.0,0.0,0.0,0.0,-232.34454789332491,0.0,-232.34454789332491,106.86230077323656,0.0,106.86230077323656,0.0,0.0,412.877071169323,0.0,539.1688811740571,412.877071169323,603.9339119457156,13.762569038977436,0.0,13.762569038977436,"GF0106"," General Public Services not elsewhere classified","GF01",2020
0.0,0.0,33609.812718952184,0.0,12.14344326968597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.954647309452426,0.0,33656.767366261636,46.954647309452426,46.954647309452426,0.0,0.0,0.0,"GF0107"," Public Debt Transactions","GF01",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324.355467887013,0.0,10324.355467887013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324.355467887013,0.0,0.0,0.0,0.0,0.0,"GF0108"," Transfers between different levels of Government","GF01",2020
11757.281773709958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.3412655830835,0.0,0.0,0.0,0.0,0.0,0.0,-30.763389616537793,14133.34884014518,0.0,34380.51658513492,14133.34884014518,33073.072526432064,8356.30809531324,0.0,8325.544705696702,"GF0201"," Military Defence","GF02",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"GF0202"," Civil Defence","GF02",2020
49.38333596338962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.20766924412186,0.0,418.54401136184316,356.20766924412186,499.5002998264163,12.953006154331703,0.0,12.953006154331703,"GF0203"," Foreign Military Aid","GF02",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.7953921413919,0.0,1730.8454473725737,693.7953921413919,1158.4844879280417,1037.050055231182,0.0,1037.050055231182,"GF0204"," Research and Development Defence","GF02",2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.34208616064385,0.0,182.1516490452896,181.34208616064385,216.1532902004103,0.8095628846457315,0.0,0.8095628846457315,"GF0205"," Defence not elsewhere classified","GF02",2020
3168.629130503393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8901.953479564463,0.0,8718.182704749883,129.53006154331703,0.0,114.95792961969387,0.0,13.762569038977436,2355.8279943190787,0.0,14985.00899479249,2355.8279943190787,5281.588259428752,415.30575982326025,0.0,429.06832886223765,"GF0301"," Police services","GF03",2020
304.39564462679505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.095628846457315,0.0,8.095628846457315,0.8095628846457315,0.0,0.8095628846457315,0.0,0.0,61.52677923307559,0.0,404.7814423228657,61.52677923307559,382.923244437431,29.953826731892065,0.0,29.953826731892065,"GF0302"," Fire protection services","GF03",2020
2537.9796433643683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.38743885119143,0.0,87.432791541739,0.0,0.0,0.0,0.0,4.047814423228657,4127.961148808585,0.0,7082.865677765504,4127.961148808585,5645.891557519331,278.4896323181316,0.0,282.53744674136027,"GF0303"," Law Courts","GF03",2020
1584.3145652516964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43197096417863,0.0,63.14590500236705,0.0,0.0,0.0,0.0,0.0,1971.2856241123561,0.0,3971.7155120719585,1971.2856241123561,3530.503739940035,345.6833517437273,0.0,345.6833517437273,"GF0304"," Prisons","GF03",2020
