"D1","D3","D4","D4.1","D4.3","D62","D632","D6M","D7","D7.1","D7.3","D9","D9.1","D9.3","D92","NP","OEC","OED","OTE","P2","P3","P5","P51G","P5LN","code","description","epoch","segment_code","year"
5068.038249389637,32.472556288995385,0.0,0.0,0.0,0.0,0.0,0.0,7288.929152726286,0.0,10.43760737860566,296.8919432136721,0.0,301.5308798263857,0.0,54.507505199385115,5702.412831178225,614.6591011845555,19177.363956958132,5087.75372999367,8941.550321005516,734.1117189619314,0.0,788.6192241613165,"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",1072915200000.0,"GF01",2004
105.53580793923501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.045709376978,0.0,1.1597341531784067,845.4461976670584,0.0,38.27122705488742,0.0,0.0,146.12650330047924,0.0,3556.9046477981733,146.12650330047924,291.09327244778007,41.75042951442264,0.0,41.75042951442264,"GF0102"," Foreign Economic Aid",1072915200000.0,"GF01",2004
303.85034813274257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8203273352021,0.0,0.0,16.236278144497692,0.0,0.0,0.0,0.0,230.78709648250293,0.0,687.7223528347952,230.78709648250293,437.21977574825934,51.02830273984989,0.0,51.02830273984989,"GF0103"," General Services",1072915200000.0,"GF01",2004
1.1597341531784067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.472556288995385,0.0,221.50922325707566,32.472556288995385,8.118139072248846,187.8769328149019,0.0,187.8769328149019,"GF0104"," Basic Research",1072915200000.0,"GF01",2004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798670765892034,0.0,0.0,0.0,0.0,19.715480604032912,0.0,49.868568586671486,19.715480604032912,23.194683063568135,24.35441721674654,0.0,24.35441721674654,"GF0105"," Research and Development General Public Services",1072915200000.0,"GF01",2004
63.785378424812365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47920245953522,0.0,3.47920245953522,0.0,0.0,165.84198390451215,0.0,235.42603309521655,165.84198390451215,228.46762817614612,2.3194683063568133,0.0,2.3194683063568133,"GF0106"," General Public Services not elsewhere classified",1072915200000.0,"GF01",2004
0.0,0.0,29242.696672393526,0.0,26.673885523103355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.61899810109412,0.0,29334.31567049462,91.61899810109412,91.61899810109412,0.0,0.0,0.0,"GF0107"," Public Debt Transactions",1072915200000.0,"GF01",2004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35178.21606836061,0.0,35178.21606836061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35178.21606836061,0.0,0.0,0.0,0.0,0.0,"GF0108"," Transfers between different levels of Government",1072915200000.0,"GF01",2004
11081.259833619675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.034948910389726,0.0,0.0,0.0,0.0,0.0,0.0,30.153087982638574,10550.101591463965,0.0,29817.924812370013,10550.101591463965,27799.987385839588,8134.375350393344,0.0,8164.528438375983,"GF0201"," Military Defence",1072915200000.0,"GF02",2004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.118139072248846,0.0,8.118139072248846,0.0,0.0,0.0,0.0,0.0,10.43760737860566,0.0,71.90351749706122,10.43760737860566,24.35441721674654,53.34777104620671,0.0,53.34777104620671,"GF0202"," Civil Defence",1072915200000.0,"GF02",2004
208.7521475721132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.4828646351386,0.0,1243.2350122072519,1034.4828646351386,1280.3465051089609,0.0,0.0,0.0,"GF0203"," Foreign Military Aid",1072915200000.0,"GF02",2004
6.95840491907044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47920245953522,0.0,0.0,0.0,0.0,509.12329324532055,0.0,1224.6792657563974,509.12329324532055,728.3130481960394,705.1183651324712,0.0,705.1183651324712,"GF0204"," Research and Development Defence",1072915200000.0,"GF02",2004
1402.1185911926937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.2795912831178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.2318021520932,0.0,3306.4020707116374,1606.2318021520932,3059.378696084637,121.7720860837327,0.0,121.7720860837327,"GF0205"," Defence not elsewhere classified",1072915200000.0,"GF02",2004
1501.8557283660366,-4.638936612713627,0.0,0.0,0.0,0.0,0.0,0.0,7745.864409078578,0.0,7510.438375983362,422.14323175694005,0.0,419.8237634505832,0.0,0.0,2166.3833981372636,0.0,12120.381634867528,2166.3833981372636,3653.162582511981,288.7738041414233,0.0,288.7738041414233,"GF0301"," Police services",1072915200000.0,"GF03",2004
63.785378424812365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.98670765892033,0.0,57.98670765892033,26.673885523103355,0.0,4.638936612713627,0.0,0.0,74.22298580341803,0.0,227.3078940229677,74.22298580341803,142.647300840944,4.638936612713627,0.0,4.638936612713627,"GF0302"," Fire protection services",1072915200000.0,"GF03",2004
2058.5281218916716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0268107423817,0.0,459.254724658649,51.02830273984989,0.0,49.868568586671486,0.0,0.0,5711.6907044036525,0.0,8586.671670132922,5711.6907044036525,6929.41156524098,184.39773035536666,0.0,184.39773035536666,"GF0303"," Law Courts",1072915200000.0,"GF03",2004
